,named_color,count,rgb,rgb_tuple,hex
83,Smoky Black,5,"(16, 12, 8)","(16, 12, 8)",#100c08
84,Charcoal,5,"(54, 69, 79)","(54, 69, 79)",#36454f
85,Light Blue,5,"(173, 216, 230)","(173, 216, 230)",#add8e6
86,Iceberg,5,"(113, 166, 210)","(113, 166, 210)",#71a6d2
87,Cerulean Blue,5,"(42, 82, 190)","(42, 82, 190)",#2a52be
88,Silver Pink,4,"(196, 174, 173)","(196, 174, 173)",#c4aead
89,Corn,4,"(251, 236, 93)","(251, 236, 93)",#fbec5d
90,Copper,4,"(184, 115, 51)","(184, 115, 51)",#b87333
91,Caput Mortuum,4,"(89, 39, 32)","(89, 39, 32)",#592720
92,Tumbleweed,4,"(222, 170, 136)","(222, 170, 136)",#deaa88
93,Yellow Orange,4,"(255, 174, 66)","(255, 174, 66)",#ffae42
94,Light Slate,4,"(132, 112, 255)","(132, 112, 255)",#8470ff
95,Mantis,4,"(116, 195, 101)","(116, 195, 101)",#74c365
96,Maximum Green,4,"(94, 140, 49)","(94, 140, 49)",#5e8c31
97,Olive Green,4,"(181, 179, 92)","(181, 179, 92)",#b5b35c
98,Pale Green,4,"(152, 251, 152)","(152, 251, 152)",#98fb98
99,Peach Puff,4,"(255, 218, 185)","(255, 218, 185)",#ffdab9
100,Persian Orange,4,"(217, 144, 88)","(217, 144, 88)",#d99058
101,Pine Tree,4,"(42, 47, 35)","(42, 47, 35)",#2a2f23
102,Wild Blue,3,"(162, 173, 208)","(162, 173, 208)",#a2add0
103,Gold Fusion,3,"(133, 117, 78)","(133, 117, 78)",#85754e
104,Teal Blue,3,"(54, 117, 136)","(54, 117, 136)",#367588
105,Celtic Blue,3,"(36, 107, 206)","(36, 107, 206)",#246bce
106,Yellow Green,3,"(154, 205, 50)","(154, 205, 50)",#9acd32
107,Light Cornflower,3,"(147, 204, 234)","(147, 204, 234)",#93ccea
108,Han Blue,3,"(68, 108, 207)","(68, 108, 207)",#446ccf
109,Honeydew,3,"(240, 255, 240)","(240, 255, 240)",#f0fff0
110,Cosmic Cobalt,3,"(46, 45, 136)","(46, 45, 136)",#2e2d88
111,Light Steel,3,"(176, 196, 222)","(176, 196, 222)",#b0c4de
112,Straw,3,"(228, 217, 111)","(228, 217, 111)",#e4d96f
113,Eton Blue,3,"(150, 200, 162)","(150, 200, 162)",#96c8a2
114,Dandelion,3,"(240, 225, 48)","(240, 225, 48)",#f0e130
115,Medium Purple,3,"(147, 112, 219)","(147, 112, 219)",#9370db
116,Metallic Gold,3,"(211, 175, 55)","(211, 175, 55)",#d3af37
117,Eggplant,3,"(97, 64, 81)","(97, 64, 81)",#614051
118,Middle Yellow,3,"(255, 235, 0)","(255, 235, 0)",#ffeb00
119,Dark Khaki,3,"(189, 183, 107)","(189, 183, 107)",#bdb76b
120,Pale Goldenrod,3,"(238, 232, 170)","(238, 232, 170)",#eee8aa
121,Dark Sky,3,"(140, 190, 214)","(140, 190, 214)",#8cbed6
122,Pale Cerulean,3,"(155, 196, 226)","(155, 196, 226)",#9bc4e2
123,Beige,3,"(245, 245, 220)","(245, 245, 220)",#f5f5dc
124,Aquamarine,3,"(127, 255, 212)","(127, 255, 212)",#7fffd4
