,Name,Colors,Year,Genre,Style,Link
592,Head of a Peasant Woman with White Cap,#A68F63,1885,portrait,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/head-of-a-peasant-woman-with-white-cap-1885(1).jpg!Large.jpg
592,Head of a Peasant Woman with White Cap,#73624D,1885,portrait,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/head-of-a-peasant-woman-with-white-cap-1885(1).jpg!Large.jpg
592,Head of a Peasant Woman with White Cap,#733F2C,1885,portrait,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/head-of-a-peasant-woman-with-white-cap-1885(1).jpg!Large.jpg
592,Head of a Peasant Woman with White Cap,#8C3A27,1885,portrait,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/head-of-a-peasant-woman-with-white-cap-1885(1).jpg!Large.jpg
592,Head of a Peasant Woman with White Cap,#0D0D0D,1885,portrait,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/head-of-a-peasant-woman-with-white-cap-1885(1).jpg!Large.jpg
