,Name,Colors,Year,Genre,Style,Link
1609,Self-Portrait,#021F59,1889,self-portrait,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/self-portrait-1889-1.jpg!Large.jpg
1609,Self-Portrait,#63A5BF,1889,self-portrait,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/self-portrait-1889-1.jpg!Large.jpg
1609,Self-Portrait,#8C701C,1889,self-portrait,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/self-portrait-1889-1.jpg!Large.jpg
1609,Self-Portrait,#BF9B6F,1889,self-portrait,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/self-portrait-1889-1.jpg!Large.jpg
1609,Self-Portrait,#730202,1889,self-portrait,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/self-portrait-1889-1.jpg!Large.jpg
