,Name,Colors,Year,Genre,Style,Link
830,The Potato Eaters,#595336,1885,genre painting,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/the-potato-eaters-1885-1.jpg!Large.jpg
830,The Potato Eaters,#403C2C,1885,genre painting,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/the-potato-eaters-1885-1.jpg!Large.jpg
830,The Potato Eaters,#8C8669,1885,genre painting,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/the-potato-eaters-1885-1.jpg!Large.jpg
830,The Potato Eaters,#0D0C0B,1885,genre painting,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/the-potato-eaters-1885-1.jpg!Large.jpg
830,The Potato Eaters,#262626,1885,genre painting,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/the-potato-eaters-1885-1.jpg!Large.jpg
