,color,count,cx
0,#0D0D0D,88,128
1,#D9D9D9,43,299
2,#F2F2F2,40,422
3,#D7D9CC,29,531
4,#BFBFBF,29,629
5,#8C8A80,24,722
6,#262626,24,810
7,#8C8C8C,24,898
8,#261C14,23,985
9,#A6A6A6,23,1071
